Date;Title;URL;Source;Type;Runtime;Year;Rated;Released;Genre;Director;Actors;Rating;IMDB ID;Series Title;Triage
7/25/16;Mouk: Season 1: "Birdsong / Dinosaur Trail";/title/80062961;Netflix;series;N/A;2011–;N/A;19 Sep 2011;Animation;N/A;Tania Farchy, Rachel Williams, Lisa Jacobs, Gwenaelle Jegou;7.4;tt2129477;Mouk;false
7/24/16;Parks and Recreation: Season 4: "The Debate";/title/70210935;Netflix;series;22;2009–2015;TV-PG;09 Apr 2009;Comedy;N/A;Amy Poehler, Nick Offerman, Aubrey Plaza, Chris Pratt;8.6;tt1266020;Parks and Recreation;false
7/24/16;Parks and Recreation: Season 4: "Live Ammo";/title/70210934;Netflix;series;22;2009–2015;TV-PG;09 Apr 2009;Comedy;N/A;Amy Poehler, Nick Offerman, Aubrey Plaza, Chris Pratt;8.6;tt1266020;Parks and Recreation;false
7/24/16;American Dad!: Season 3: "Big Trouble in Little Langley";/title/70143515;Netflix;series;22;2005–;TV-14;N/A;Animation, Comedy;N/A;Seth MacFarlane, Wendy Schaal, Dee Bradley Baker, Scott Grimes;7.5;tt0397306;American Dad!;false
7/24/16;American Dad!: Season 3: "Dope & Faith";/title/70143514;Netflix;series;22;2005–;TV-14;N/A;Animation, Comedy;N/A;Seth MacFarlane, Wendy Schaal, Dee Bradley Baker, Scott Grimes;7.5;tt0397306;American Dad!;false
7/24/16;American Dad!: Season 3: "Meter Made";/title/70143513;Netflix;series;22;2005–;TV-14;N/A;Animation, Comedy;N/A;Seth MacFarlane, Wendy Schaal, Dee Bradley Baker, Scott Grimes;7.5;tt0397306;American Dad!;false
7/24/16;American Dad!: Season 3: "The Vacation Goo";/title/70143512;Netflix;series;22;2005–;TV-14;N/A;Animation, Comedy;N/A;Seth MacFarlane, Wendy Schaal, Dee Bradley Baker, Scott Grimes;7.5;tt0397306;American Dad!;false
7/24/16;American Dad!: Season 2: "Joint Custody";/title/70143511;Netflix;series;22;2005–;TV-14;N/A;Animation, Comedy;N/A;Seth MacFarlane, Wendy Schaal, Dee Bradley Baker, Scott Grimes;7.5;tt0397306;American Dad!;false
7/24/16;American Dad!: Season 2: "The Magnificent Steven";/title/70143510;Netflix;series;22;2005–;TV-14;N/A;Animation, Comedy;N/A;Seth MacFarlane, Wendy Schaal, Dee Bradley Baker, Scott Grimes;7.5;tt0397306;American Dad!;false
7/24/16;Happy Valley: Series 1: "Episode 5";/title/80007022;Netflix;series;58;2014–;TV-MA;29 Apr 2014;Crime, Drama;N/A;Sarah Lancashire, Siobhan Finneran, Shane Zaza, Charlie Murphy;8.5;tt3428912;Happy Valley;false
7/24/16;Happy Valley: Series 1: "Episode 4";/title/80007021;Netflix;series;58;2014–;TV-MA;29 Apr 2014;Crime, Drama;N/A;Sarah Lancashire, Siobhan Finneran, Shane Zaza, Charlie Murphy;8.5;tt3428912;Happy Valley;false
7/24/16;Mouk: Season 1: "Little Fish Grow Up / Runaway Robot";/title/80062960;Netflix;series;N/A;2011–;N/A;19 Sep 2011;Animation;N/A;Tania Farchy, Rachel Williams, Lisa Jacobs, Gwenaelle Jegou;7.4;tt2129477;Mouk;false
7/24/16;Mouk: Season 1: "The Cloud Catcher / A Message for You";/title/80062959;Netflix;series;N/A;2011–;N/A;19 Sep 2011;Animation;N/A;Tania Farchy, Rachel Williams, Lisa Jacobs, Gwenaelle Jegou;7.4;tt2129477;Mouk;false
7/24/16;American Dad!: Season 2: "I Can't Stan You";/title/70143509;Netflix;series;22;2005–;TV-14;N/A;Animation, Comedy;N/A;Seth MacFarlane, Wendy Schaal, Dee Bradley Baker, Scott Grimes;7.5;tt0397306;American Dad!;false
7/23/16;American Dad!: Season 2: "When a Stan Loves a Woman";/title/70143508;Netflix;series;22;2005–;TV-14;N/A;Animation, Comedy;N/A;Seth MacFarlane, Wendy Schaal, Dee Bradley Baker, Scott Grimes;7.5;tt0397306;American Dad!;false
7/23/16;American Dad!: Season 2: "Four Little Words";/title/70143507;Netflix;series;22;2005–;TV-14;N/A;Animation, Comedy;N/A;Seth MacFarlane, Wendy Schaal, Dee Bradley Baker, Scott Grimes;7.5;tt0397306;American Dad!;false
7/23/16;Parks and Recreation: Season 4: "Lucky";/title/70210933;Netflix;series;22;2009–2015;TV-PG;09 Apr 2009;Comedy;N/A;Amy Poehler, Nick Offerman, Aubrey Plaza, Chris Pratt;8.6;tt1266020;Parks and Recreation;false
7/23/16;Parks and Recreation: Season 4: "Campaign Shake-Up";/title/70210932;Netflix;series;22;2009–2015;TV-PG;09 Apr 2009;Comedy;N/A;Amy Poehler, Nick Offerman, Aubrey Plaza, Chris Pratt;8.6;tt1266020;Parks and Recreation;false
7/23/16;Parks and Recreation: Season 4: "Sweet Sixteen";/title/70210931;Netflix;series;22;2009–2015;TV-PG;09 Apr 2009;Comedy;N/A;Amy Poehler, Nick Offerman, Aubrey Plaza, Chris Pratt;8.6;tt1266020;Parks and Recreation;false
7/23/16;Fighting;/title/70108810;Netflix;movie;105;2009;PG-13;24 Apr 2009;Action, Drama, Sport;Dito Montiel;Channing Tatum, Terrence Howard, Zulay Henao, Michael Rivera;5.6;tt1082601;Fighting;false
7/23/16;Stranger Things: Season 1: "Chapter Eight: The Upside Down";/title/80077375;Netflix;series;55;2016–;TV-14;15 Jul 2016;Drama, Fantasy, Horror;N/A;Rob Morgan, Winona Ryder, David Harbour, Finn Wolfhard;9.0;tt4574334;Stranger Things;false
7/23/16;Stranger Things: Season 1: "Chapter Seven: The Bathtub";/title/80077374;Netflix;series;55;2016–;TV-14;15 Jul 2016;Drama, Fantasy, Horror;N/A;Rob Morgan, Winona Ryder, David Harbour, Finn Wolfhard;9.0;tt4574334;Stranger Things;false
7/23/16;How I Met Your Mother: Season 5: "Doppelgangers";/title/70218592;Netflix;series;22;2005–2014;TV-14;19 Sep 2005;Comedy, Romance;N/A;Josh Radnor, Jason Segel, Cobie Smulders, Neil Patrick Harris;8.4;tt0460649;How I Met Your Mother;false
7/22/16;Stranger Things: Season 1: "Chapter Six: The Monster";/title/80077373;Netflix;series;55;2016–;TV-14;15 Jul 2016;Drama, Fantasy, Horror;N/A;Rob Morgan, Winona Ryder, David Harbour, Finn Wolfhard;9.0;tt4574334;Stranger Things;false
7/22/16;Family Guy: Season 12: "Brian's a Bad Father";/title/80018572;Netflix;series;22;1999–;TV-14;31 Jan 1999;Animation, Comedy;N/A;Seth MacFarlane, Alex Borstein, Seth Green, Mila Kunis;8.3;tt0182576;Family Guy;false
7/22/16;The Big Short;/title/80075560;Netflix;movie;130;2015;R;23 Dec 2015;Biography, Comedy, Drama;Adam McKay;Ryan Gosling, Rudy Eisenzopf, Casey Groves, Charlie Talbert;7.8;tt1596363;The Big Short;false
7/22/16;Parks and Recreation: Season 4: "Dave Returns";/title/70210930;Netflix;series;22;2009–2015;TV-PG;09 Apr 2009;Comedy;N/A;Amy Poehler, Nick Offerman, Aubrey Plaza, Chris Pratt;8.6;tt1266020;Parks and Recreation;false
7/22/16;Parks and Recreation: Season 4: "Operation Ann";/title/70210929;Netflix;series;22;2009–2015;TV-PG;09 Apr 2009;Comedy;N/A;Amy Poehler, Nick Offerman, Aubrey Plaza, Chris Pratt;8.6;tt1266020;Parks and Recreation;false
7/21/16;Stranger Things: Season 1: "Chapter Five: The Flea and the Acrobat";/title/80077372;Netflix;series;55;2016–;TV-14;15 Jul 2016;Drama, Fantasy, Horror;N/A;Rob Morgan, Winona Ryder, David Harbour, Finn Wolfhard;9.0;tt4574334;Stranger Things;false
7/21/16;Parks and Recreation: Season 4: "Bowling for Votes";/title/70210928;Netflix;series;22;2009–2015;TV-PG;09 Apr 2009;Comedy;N/A;Amy Poehler, Nick Offerman, Aubrey Plaza, Chris Pratt;8.6;tt1266020;Parks and Recreation;false
7/21/16;Parks and Recreation: Season 4: "Campaign Ad";/title/70210927;Netflix;series;22;2009–2015;TV-PG;09 Apr 2009;Comedy;N/A;Amy Poehler, Nick Offerman, Aubrey Plaza, Chris Pratt;8.6;tt1266020;Parks and Recreation;false
7/21/16;Parks and Recreation: Season 4: "The Comeback Kid";/title/70210926;Netflix;series;22;2009–2015;TV-PG;09 Apr 2009;Comedy;N/A;Amy Poehler, Nick Offerman, Aubrey Plaza, Chris Pratt;8.6;tt1266020;Parks and Recreation;false
7/21/16;Parks and Recreation: Season 4: "Citizen Knope";/title/70210925;Netflix;series;22;2009–2015;TV-PG;09 Apr 2009;Comedy;N/A;Amy Poehler, Nick Offerman, Aubrey Plaza, Chris Pratt;8.6;tt1266020;Parks and Recreation;false
7/21/16;Parks and Recreation: Season 4: "The Trial of Leslie Knope";/title/70210924;Netflix;series;22;2009–2015;TV-PG;09 Apr 2009;Comedy;N/A;Amy Poehler, Nick Offerman, Aubrey Plaza, Chris Pratt;8.6;tt1266020;Parks and Recreation;false
7/21/16;Parks and Recreation: Season 4: "Smallest Park";/title/70210923;Netflix;series;22;2009–2015;TV-PG;09 Apr 2009;Comedy;N/A;Amy Poehler, Nick Offerman, Aubrey Plaza, Chris Pratt;8.6;tt1266020;Parks and Recreation;false
7/21/16;Parks and Recreation: Season 4: "The Treaty";/title/70210922;Netflix;series;22;2009–2015;TV-PG;09 Apr 2009;Comedy;N/A;Amy Poehler, Nick Offerman, Aubrey Plaza, Chris Pratt;8.6;tt1266020;Parks and Recreation;false
7/21/16;Parks and Recreation: Season 4: "End of the World";/title/70210921;Netflix;series;22;2009–2015;TV-PG;09 Apr 2009;Comedy;N/A;Amy Poehler, Nick Offerman, Aubrey Plaza, Chris Pratt;8.6;tt1266020;Parks and Recreation;false
7/21/16;Mouk: Season 1: "Yee Ha Cowboy / The Indian Vase";/title/80062954;Netflix;series;N/A;2011–;N/A;19 Sep 2011;Animation;N/A;Tania Farchy, Rachel Williams, Lisa Jacobs, Gwenaelle Jegou;7.4;tt2129477;Mouk;false
7/21/16;Mouk: Season 1: "The Best Dressed Elephant / Star Struck";/title/80062953;Netflix;series;N/A;2011–;N/A;19 Sep 2011;Animation;N/A;Tania Farchy, Rachel Williams, Lisa Jacobs, Gwenaelle Jegou;7.4;tt2129477;Mouk;false
7/21/16;Happy Valley: Series 1: "Episode 3";/title/80007020;Netflix;series;58;2014–;TV-MA;29 Apr 2014;Crime, Drama;N/A;Sarah Lancashire, Siobhan Finneran, Shane Zaza, Charlie Murphy;8.5;tt3428912;Happy Valley;false
7/21/16;Happy Valley: Series 1: "Episode 2";/title/80007019;Netflix;series;58;2014–;TV-MA;29 Apr 2014;Crime, Drama;N/A;Sarah Lancashire, Siobhan Finneran, Shane Zaza, Charlie Murphy;8.5;tt3428912;Happy Valley;false
